û	151
bʱ	23
ŋ̍	64
ʌ̃̀	1
b̪	1
ʋ́/ⱱ	1
ŋ̊	25
nʱ	3
gʱ	98
g̊	2
ŭ	48
ɑ̠̄	4
ãĩ	1
ɛ̃̀	1
ĕ	24
ĭ	132
k’	2
ʈʂ’	10
ts’	1
ʁ’	1
tʃ’	2
dʱ	17
á	153
nd	95
é	153
ɨ́	9
ó	81
mb	177
ú	39
ŋg	10
í	60
mbʷ	1
à	6
è	1
ì	7
ò	2
yˁ	2
aˁ	14
øˁ	7
iˁ	7
uˁ	6
ɯˁ	10
eˁ	9
oˁ	7
ö	76
ă	198
ḛ	33
ḭ	39
ṵ	40
ṵ̃	3
â	19
ɛ̂	183
ɐ̂	47
ā	25
ô	15
ū	87
ō	26
ê	10
ē	10
ɐ̄	9
ī	16
ə̄	39
ə̂	97
ɛ̄	4
î	6
aˑ	519
⁵⁵³	1
ks/kˢ	9
ŋh/ŋ̊	6
⁰	473
ɲh/ɲ̊	4
ŏ	23
pˢ	4
ks	568
rs	302
ns	264
ws	29
ɥh	2
rh	63
nh	39
kk	49
ps	182
wh	3
sh	4
ɥs	2
lh	28
ls	119
_	8664
nsː	15
vv	29
ms	540
dʲdʲ	1
nhʲ	1
bh	4
psʲ	8
ds	17
ksʲ	17
zs	8
dh	400
vh	8
lʲh	1
ɡh	9
th	11
kʃ	140
tt	195
pʃ	56
bs	154
rʲʃ	2
ɡs	32
ɡʒ	5
žː	2
ɲʃ	8
ɟʃ	3
mʃ	43
rʲʒ	2
ʎʒ	2
rʒ	39
ɲʒ	1
rʃ	120
ŋs	34
mh	12
js	93
jh	38
βs	5
βh	16
ŋh	3
�	68
lːh	2
iɛ͡	173
uɔ͡	498
msː	1
tːs	32
vsː	5
lsː	18
jsː	4
rsː	12
pːs	1
vs	109
lːʃ	3
d͡sː	8
d͡ʃ	7
ē	44
ll	133
jj	12
ff	4
rr	44
í	15
ʃʲʃ	2
ēh	2
ō	32
ɡɡ	34
pp	39
dd	29
bb	20
ss	57
d͡ʒd͡ʒ	4
ḥ	11
t͡st͡s	16
t͡ʃt͡ʃ	13
ɟ͡ʝʲsʲ	1
psː	2
ʝsː	1
xsː	11
xʲsːʲ	4
ðs	4
sʲs	2
mʲsʲ	1
ʝʲsʲ	1
vʃ	10
kːs	11
ðð	2
c͡çʲsʲ	1
ɣs	12
pːʲsʲ	3
mːs	3
nːʲsʲ	1
d͡ʒs	3
lʃ	39
lːʲsʲ	1
mːʲsʲ	2
mm	27
nʲsːʲ	1
t͡sʲsʲ	1
lːʲʃʲ	1
tːʲsʲ	1
dʃ	3
r̥s	10
m̬	1
rːɕ	2
ʎːs	1
vːs	5
pːɕ	3
kʰɕ	1
vɕ	3
t̬	126
a̬	1
t͡ʃɕ	2
ʎʃ	7
jːɕ	2
t͡sːɕ	2
pɕ	6
xʃ	7
kːɕ	3
nɕ	9
rːʃ	1
ə́	24
ó	6
t͡ʃʃ	2
ý	1
ú	8
ɑ́	28
é	5
nʃ	58
ɯ́	2
ðʃ	2
ɡʃ	12
mʒ	8
kʃʃ	1
<?>	202
nʒ	33
ʃʃ	13
ɑˑ	634
ɤˑ	35
yˑ	54
iˑ	188
øˑ	10
oˑ	99
uˑ	189
eˑ	273
t͡ʃs	4
rsʲ	9
xsʲ	3
ksʃ	1
vʒ	5
tʲs	1
kss	2
msʲ	1
rʲsʲ	4
əˑ	2
t͡ɕsʲ	1
lsʲ	2
jsʲ	2
hʃ	1
jʃ	37
tːh	2
sʃ	4
ɟs	4
ɲh	1
