r̩ʃ	1
r̩ʒ	3
tː͡s	2
vw	27
ɡʐ	6
bʐ	10
ɾɕ	2
kɕ	21
tʂ	44
bw	12
dʐ	9
pw	29
zw	12
ʈ͡ʂw	1
vʐ	2
jʐ	2
fʂ	4
d͡ʑd͡ʑ	3
ɾʐ	1
mʐ	2
vʑ	1
ɦw	6
wʐ	5
rʐ	4
lʲs	1
lʲʂ	1
ʂʂ	2
dsʲ	1
ɔˑ	201
ɨˑ	58
ɛˑ	13
ɪ|	9
nʃʲː	1
bʃʲː	3
ɫs	10
zʒ	1
nʲʃ	3
tʲsʲ	45
sʒ	2
ɪ̂	191
ʊ̯ˑ	55
ôːsʲ	1
ɑ̂	166
ʊ̂	154
âˑ	75
æ̂ˑʲ	6
ɪ̯ˑ	118
ɫˑ	17
êˑ	30
rˑʃ	6
ɫʃʲ	1
ôː	69
nˑ	43
ǒː	23
ěː	42
êː	59
rˑ	41
âˑʲ	18
ɫˑs	1
rˑs	7
ò	1
ûːʃʲ	1
ǐːʒʲ	1
ěːʒʲ	1
mˑ	9
ôːs	2
rˑʒ	2
rˑʃʲ	1
mʒʲ	1
ʒʃ	1
æ̌ː	3
ɫsʲ	1
êːs	3
êːʃ	1
ɑ̂ː	1
ʃsʲ	2
ʃs	7
êːʃʲ	1
ʊ̂ʲ	1
ǎʒʲ	1
kʃː	2
kʒ	4
mʃː	1
xs	85
ə̹	4
lːs	6
rːs	17
ŋːs	1
dːs	2
ksː	11
sːɕ	1
ˌɑː	1
pːh	1
rːh	3
lˀs	1
wˀs	2
ʁˀw	1
mˀs	2
ʀw	5
ʀs	11
nˀs	4
ʁh	2
ʁs	93
ʀh	1
ʁˀs	1
ðh	1
çh	1
kh	27
χh	1
ɣɣ	1
x̬̥	1
ˌf	1
ˌm	1
ˌt	5
ˌp	2
ˌh	2
ˌd	1
ˌɡ	5
ˌw	1
ˌb	2
ˌʌ	1
mʲʃ	3
ɾˠh	6
n̪ˠn̪ˠ	1
ɾʲʃ	1
ɾˠsˠ	1
ɾˠʃ	2
lʲʃ	2
l̪ˠsˠ	1
vʲh	1
ɡsˠ	1
ˌʊ	1
vʲʃ	1
d̪ˠsˠ	1
ʊɪ͡	77
ɛʊ͡	22
aɪ͡	131
aʊ͡	36
ɔɪ͡	38
ɛɪ͡	53
əʊ͡	13
ɪʊ͡	23
ɔʊ͡	32
ʀʃ	2
ʀʒ	1
kːh	1
ɡʷs	7
ɫw	5
ʁʒ	3
fw	13
ʁw	22
ʁʃ	8
nsw	1
βw	6
ɲw	1
wʃ	5
ðw	3
qʃ	4
ʔs	7
qh	1
s̬	37
k̬	54
p̬	30
rʂ̬	2
t̬͡ɕ	8
t͡ɕ̬	11
lɕ̬	1
ʂ̬	11
ɕ̬	22
j́	8
t̬͡	8
bɕː	4
rɕ̬	3
à	1
rs̬	2
ns̬	4
ls̬	1
nʂ̬	1
lʂ̬	1
ms̬	1
uo͡	66
ie͡	42
yø͡	27
ɯa͡	36
bɕːʲ	2
w̜	80
ĕs	3
rʲs	3
ăs	17
mʲs	2
ɮs	9
w̜s	6
ăw̜	10
rw̜	7
ɮʲs	2
nʲs	2
w̜ʲ	11
ɢs	5
ɢʃ	3
ɮʃ	1
mʃʲ	3
ĕʃ	1
ɢw̜	1
ĕw̜	1
tʰtʰ	2
ăʃ	1
ɮʃʲ	1
ɮss	1
ɢʃʲ	1
ɮɮ	6
nʃʲ	1
ɮw	9
ħs	8
tʰw	4
t͡sʰt͡sʰ	4
xx	5
ʎh	3
iã͡	6
aɔ͡	72
ia͡	50
iə̃͡	2
iũ͡	1
iə͡	11
ai͡	2
iɔ͡	83
ui͡	8
iaɔ͡͡	2
iu͡	57
twʲ	1
uĩ͡	1
əi͡	2
ʔɕ	5
ʎɕ	10
qɕ	1
ŋɕ	9
ɲɕ	8
mɕ	4
lʲw	2
ŋʒ	12
ʎʎ	7
ɲɲ	5
ʒʒ	1
ββ	1
ʷqs	1
ɸs	9
ʔʃ	3
cc	6
pʰs	25
p̚	24
psʰ	1
p͈͈	14
s͈	57
tʰsʰːː	1
k̚	56
t͈͈	64
k͈͈	38
msʰ	6
t͡ɕ͈͈	14
sʰw	6
t͈ʰ	1
ɸʷw	12
ŋsʰ	8
d͡ʑw	4
t͡ɕw	2
ksʰ	5
ɕ͈	4
ɯi͡	2
nsʰ	7
nɕʰ	5
ŋɕʰ	1
lɕʰ	2
t̚	36
t͡ɕ͈͈͈	1
d͡ʑ͈	7
t͡ɕ͈	12
p͈͈ʰ	1
lsʰ	1
lsʰw	1
kɕʰ	2
mɕʰ	1
sʰh	3
kʰw	1
t͈w	2
cw	1
t͈	66
t͈͈w	2
t͈͈ʰ	1
s͈w	2
msʰw	1
s͈sʰ	2
d͡ʑh	1
kʰh	1
k͈͈w	2
äɕ	21
äw	17
äs	31
äːs	3
äh	1
d̚	1
ɕɕ	1
äss	1
ŋ́	17
t͡n	2
t̪h	16
d̪h	33
d̪ːh	10
t̪s	4
ʈh	4
t͡ʃːh	1
ɾʲʂ	1
ɾʲ̥ɕ	1
ɾʲɕ	3
nː̪	1
t̪hs̪	1
ls̪	1
ɭɭ	1
ɡ̇	64
ĩ́	1
t͡ṡ	41
t͡ṡh	12
ʈ͡ʂh	1
ã́	1
d̪ʂ	1
ṍ	2
d̪s	4
aā̄	1
t̪ʂ	1
tʰʃ	1
tˀs	3
pʼs	3
χʂ	4
pʰʂ	16
mʂ	5
t͡sʼt͡sʼ	1
t͡ʃʼt͡ʃʼ	2
bʒ	19
ɡʂ	1
t͡ʃʰt͡ʃʰ	4
zʂ	1
t͡pʼ	8
qʼqʼ	2
pʰss	2
χʲʃ	2
bʂ	1
tʰʂ	1
χʲʂ	2
χʲʃʲʷ	1
ʒʲʷʃ	1
pʰʐ	2
pʼʂ	1
ʁʲʁʲ	1
pʰsʃ	1
d͡zs	1
t͡sʼʃ	1
lʂ	1
kʼʂ	2
d͡ʑʷd͡ʑʷ	1
kʷʼ́	1
kʷʼ́ʂʷ	1
t͡ʃʼ́	2
ʃʼ̈w	2
bʑ	5
kʷ́	1
χʷ́	5
ʁʷ́ʐ	1
kʷ́w	1
ʂʷ́	2
fʃʼ	2
kʼ̈w	3
ʁʷ́	9
ʔʷ́	1
χɕ	1
ʐʷ́	2
ɣ̈w	1
ʃʷʼ́	1
ʃ̈w	1
pʃʼ	8
j́ɕ	1
jʑ	2
qʷ́	1
kʷ̈w	1
t͡sʷ́	2
ɡʷ́	1
r̈w	1
kʼw	4
nʃː	1
t͡sʼw	5
t͡ʃw	3
q͡χːʼw	10
t͡ʃʼw	10
χʃː	2
t͡ɬʼw	1
ʃːw	6
kːʼw	1
q͡χːw	3
kːw	7
ʁwˤ	4
qʼw	2
t͡ɬt͡ɬ	3
wʒ	2
ħħ	2
t͡ɬʼwˤ	1
rɕː	6
wɕː	1
ɕːw	2
q͡χʃ	1
χsː	6
zsː	2
qʼsː	4
wsː	2
t͡sʼsː	1
rʃsː	1
kʼsː	2
ʒsː	1
t͡ʃsː	1
q͡χq͡χ	1
ʔsː	1
q͡χw	1
rʃw	1
jɕː	1
a̹	48
qʰs	2
qʼs	4
kʼs	3
t͡ss	1
ħʃ	1
ʡ	74
ēs	1
uʊ͡	101
uʊ̄͡	5
ø̄	3
ōʒ	1
ēʒ	1
ēʃ	1
fsˤ	1
qw	1
tˤw	1
θθ	2
nsˤ	1
lsˤ	1
ħsˤ	1
ɛ̂̌	18
ə̂̌	30
î̌	59
ä̌	14
ɨ̂̌	13
ɤ̌	18
ə̌	41
ä̂	52
ɑ̂̌	55
ê	17
ä̂̌	29
œ̂	17
â̌	41
ɤ̂	18
îw	1
ɑ̌	50
ɨ̌	29
ô̌	11
y̌	10
œ̂̌	3
ʊ̌	14
ě	5
œ̌	6
pʰw	2
ŋʂ	17
û̌ʂ	3
ɨ̂	16
ê̌	7
û̌	37
ʊ̂̌	7
ǒ	6
ɯ̂̌	5
ĵ̌	3
ä̂ɕ	2
îɕ	3
ûʂ	5
ɯ̌	1
ɯ̂	8
ä̌w	1
ûɕ	2
ĵ	1
ɤ̂̌	3
ŋw	2
ɻʂ	1
ǔʂ	1
ǐʂ	1
ä̌ɕ	1
ɔ̂̌	1
ôʂ	1
ôɕ	1
ä̂̌s	1
ŷʂ	1
î̌w	1
³³⁴	55
ʯ	9
ãi	15
ãu	9
	507
lʱ	3
mʱ	4
jʱ	2
vʱ	4
qʱ	2
ɲʱ	3
ṳ	53
ɲ̊	9
l’	1
ï	21
jh/dʒʱ	3
üü	5
tʳ	24
dʳ	12
ⁿdʳ	200
ᵐb	4
ⁿbʳ	1
cç	11
cçʰ	13
æ̂	12
ʊ́	1
ù	2
nh/n̊	5
ǔ	2
ǎ	2
ě	1
ǒ	1
ɔ̀	1
ɛ̀	3
dzʱ	4
tθ	29
õõ	36
ɛ̰̂ː	3
ă̰	1
ʌ̤̀	3
mᵊ	1
ũi	2
ɛ̤̀	1
ḭ̂ː/ḭː	2
ṵ̂/ṵ	2
ṳː	17
mp	2
uã	1
iã	2
uẽ	1
ũe	1
ñ	3
õa	1
oã	1
ë	6
ÿː	2
ɛ̃ĩ	8
ɛ̃ĩː	1
ʔ̚	60
ãə	1
tːʃ	20
ȵ̊	1
N/⁰	2
ʜ	1
∼	267
<<⁸>>	17
tʂʰ	16
<<ă>>	28
<<S>>	1
<<⁹>>	1
d̄	9
<<q>>	64
<<â>>	31
<<̲>>	9
<<ɦ>>	11
<<P>>	33
<<ʷ>>	1
<<U>>	2
<<с>>	1
b̄	20
<<<>>	9
<<ː>>	16
<<̃>>	19
<<́>>	2
<<̣>>	4
<<G>>	2
<<ṇ>>	1
<<̌>>	3
<<ʁ>>	28
<<+>>	1
<<ĭ>>	1
<<ʼ>>	1
ŋʊʎʎ	2
<<\>>	1
<<ḿ>>	1
ḛ̃	1
<<ẫ>>	1
ṽ̰	1
<<р>>	1
öː	1
ü̃	2
mˁ	1
ˀdˁ	1
sˁ	2
gb	31
eĩ	2
ṹ	1
nt	1
k͈	108
p͈	71
tɕ͈	48
dʑ͈	2
ẽi	1
ȶ	2
õi	1
